alias,real_name,definition,category,db_table,db_column,db_type
GS,Goldman Sachs,Institution shorthand,Banks/Institutions,trades,trade_id,bigint
MS,Morgan Stanley,Institution shorthand,Banks/Institutions,portfolios,portfolio_id,bigint
JPM,J.P. Morgan,Institution shorthand,Banks/Institutions,risk_metrics,metric_id,bigint
C,Citigroup,Institution shorthand,Banks/Institutions,trades,term_code,text
DB,Deutsche Bank,Institution shorthand,Banks/Institutions,portfolios,term_code,text
UBS,UBS,Institution shorthand,Banks/Institutions,risk_metrics,term_code,text
CS,Credit Suisse,Institution shorthand,Banks/Institutions,trades,counterparty_id,integer
BAML,Bank of America Merrill Lynch,Institution shorthand,Banks/Institutions,portfolios,weight,numeric
Wells,Wells Fargo,Institution shorthand,Banks/Institutions,risk_metrics,greek,text
HSBC,HSBC,Institution shorthand,Banks/Institutions,trades,notional,numeric
BNPP,BNP Paribas,Institution shorthand,Banks/Institutions,portfolios,rebalance_date,date
SocGen,Société Générale,Institution shorthand,Banks/Institutions,risk_metrics,value_date,date
Barc,Barclays,Institution shorthand,Banks/Institutions,trades,trade_ts,timestamp
Nomura,Nomura,Institution shorthand,Banks/Institutions,portfolios,strategy_code,text
MUFG,Mitsubishi UFJ Financial Group,Institution shorthand,Banks/Institutions,risk_metrics,metric_value,numeric
RBC,Royal Bank of Canada,Institution shorthand,Banks/Institutions,trades,trade_id,bigint
TD,Toronto-Dominion Bank,Institution shorthand,Banks/Institutions,portfolios,portfolio_id,bigint
Macquarie,Macquarie,Institution shorthand,Banks/Institutions,risk_metrics,metric_id,bigint
Lazard,Lazard,Institution shorthand,Banks/Institutions,trades,term_code,text
Citi,Citigroup,Institution shorthand,Banks/Institutions,portfolios,term_code,text
BOA,Bank of America,Institution shorthand,Banks/Institutions,risk_metrics,term_code,text
SG,Société Générale,Institution shorthand,Banks/Institutions,trades,counterparty_id,integer
Jeffs,Jefferies,Institution shorthand,Banks/Institutions,portfolios,weight,numeric
Mizuho,Mizuhuo Bank,Institution shorthand,Banks/Institutions,risk_metrics,greek,text
DBank,Deutsche Bank,Institution shorthand,Banks/Institutions,trades,notional,numeric
Cable,GBP/USD,Nickname for an FX pair,FX Pairs/FX Slang,portfolios,rebalance_date,date
Fiber,EUR/USD,Nickname for an FX pair,FX Pairs/FX Slang,risk_metrics,value_date,date
Loonie,USD/CAD,Nickname for an FX pair,FX Pairs/FX Slang,trades,trade_ts,timestamp
Aussie,AUD/USD,Nickname for an FX pair,FX Pairs/FX Slang,portfolios,strategy_code,text
Kiwi,NZD/USD,Nickname for an FX pair,FX Pairs/FX Slang,risk_metrics,metric_value,numeric
Swissy,USD/CHF,Nickname for an FX pair,FX Pairs/FX Slang,trades,trade_id,bigint
Ninja,USD/JPY,Nickname for an FX pair,FX Pairs/FX Slang,portfolios,portfolio_id,bigint
Guppy,GBP/JPY,Nickname for an FX pair,FX Pairs/FX Slang,risk_metrics,metric_id,bigint
Euro-Sterling,EUR/GBP,Nickname for an FX pair,FX Pairs/FX Slang,trades,term_code,text
Chunnel,EUR/GBP,Nickname for an FX pair,FX Pairs/FX Slang,portfolios,term_code,text
Dollar-Yen,USD/JPY,Nickname for an FX pair,FX Pairs/FX Slang,risk_metrics,term_code,text
Euro-Yen,EUR/JPY,Nickname for an FX pair,FX Pairs/FX Slang,trades,counterparty_id,integer
Dragon,GBP/JPY,Nickname for an FX pair,FX Pairs/FX Slang,portfolios,weight,numeric
Euro-Loonie,EUR/CAD,Nickname for an FX pair,FX Pairs/FX Slang,risk_metrics,greek,text
Aussie-Yen,AUD/JPY,Nickname for an FX pair,FX Pairs/FX Slang,trades,notional,numeric
Kiwi-Yen,NZD/JPY,Nickname for an FX pair,FX Pairs/FX Slang,portfolios,rebalance_date,date
Euro-Swiss,EUR/CHF,Nickname for an FX pair,FX Pairs/FX Slang,risk_metrics,value_date,date
Pound-Swiss,GBP/CHF,Nickname for an FX pair,FX Pairs/FX Slang,trades,trade_ts,timestamp
Cable-Yen,GBP/JPY,Nickname for an FX pair,FX Pairs/FX Slang,portfolios,strategy_code,text
Cross,Non-USD cross pair,Nickname for an FX pair,FX Pairs/FX Slang,risk_metrics,metric_value,numeric
Gamma,Option gamma,Options/volatility concept or strategy,Options & Vol,trades,trade_id,bigint
Vega,Option vega,Options/volatility concept or strategy,Options & Vol,portfolios,portfolio_id,bigint
Theta,Time decay (theta),Options/volatility concept or strategy,Options & Vol,risk_metrics,metric_id,bigint
Delta,Option delta,Options/volatility concept or strategy,Options & Vol,trades,term_code,text
Rho,Option rho,Options/volatility concept or strategy,Options & Vol,portfolios,term_code,text
Skew,Implied volatility skew,Options/volatility concept or strategy,Options & Vol,risk_metrics,term_code,text
Smile,Volatility smile,Options/volatility concept or strategy,Options & Vol,trades,counterparty_id,integer
Implied vol,Implied volatility,Options/volatility concept or strategy,Options & Vol,portfolios,weight,numeric
Realized vol,Realized volatility,Options/volatility concept or strategy,Options & Vol,risk_metrics,greek,text
Long gamma,Long gamma position,Options/volatility concept or strategy,Options & Vol,trades,notional,numeric
Short gamma,Short gamma position,Options/volatility concept or strategy,Options & Vol,portfolios,rebalance_date,date
Covered call,Covered call,Options/volatility concept or strategy,Options & Vol,risk_metrics,value_date,date
Straddle,Long straddle,Options/volatility concept or strategy,Options & Vol,trades,trade_ts,timestamp
Strangle,Long strangle,Options/volatility concept or strategy,Options & Vol,portfolios,strategy_code,text
Iron condor,Iron condor spread,Options/volatility concept or strategy,Options & Vol,risk_metrics,metric_value,numeric
Butterfly,Butterfly spread,Options/volatility concept or strategy,Options & Vol,trades,trade_id,bigint
Collar,Protective collar,Options/volatility concept or strategy,Options & Vol,portfolios,portfolio_id,bigint
Calendar spread,Calendar spread,Options/volatility concept or strategy,Options & Vol,risk_metrics,metric_id,bigint
Diagonal spread,Diagonal spread,Options/volatility concept or strategy,Options & Vol,trades,term_code,text
Synthetic long,Synthetic long,Options/volatility concept or strategy,Options & Vol,portfolios,term_code,text
Synthetic short,Synthetic short,Options/volatility concept or strategy,Options & Vol,risk_metrics,term_code,text
Risk reversal,Risk reversal,Options/volatility concept or strategy,Options & Vol,trades,counterparty_id,integer
Fence,Option fence,Options/volatility concept or strategy,Options & Vol,portfolios,weight,numeric
Vol surface,Volatility surface,Options/volatility concept or strategy,Options & Vol,risk_metrics,greek,text
Sticky delta,Sticky delta assumption,Options/volatility concept or strategy,Options & Vol,trades,notional,numeric
Sticky strike,Sticky strike assumption,Options/volatility concept or strategy,Options & Vol,portfolios,rebalance_date,date
Skewness trade,Skew trade,Options/volatility concept or strategy,Options & Vol,risk_metrics,value_date,date
Vol crush,Volatility crush,Options/volatility concept or strategy,Options & Vol,trades,trade_ts,timestamp
Vol pop,Volatility pop,Options/volatility concept or strategy,Options & Vol,portfolios,strategy_code,text
Vega bleed,Vega bleed,Options/volatility concept or strategy,Options & Vol,risk_metrics,metric_value,numeric
Delta hedge,Delta hedging,Options/volatility concept or strategy,Options & Vol,trades,trade_id,bigint
Roll,Roll position,Options/volatility concept or strategy,Options & Vol,portfolios,portfolio_id,bigint
Expiry,Expiration,Options/volatility concept or strategy,Options & Vol,risk_metrics,metric_id,bigint
Exercise,Exercise (option),Options/volatility concept or strategy,Options & Vol,trades,term_code,text
Assignment,Assignment (option),Options/volatility concept or strategy,Options & Vol,portfolios,term_code,text
Pin risk,Pin risk,Options/volatility concept or strategy,Options & Vol,risk_metrics,term_code,text
Jump risk,Jump risk,Options/volatility concept or strategy,Options & Vol,trades,counterparty_id,integer
Tail hedge,Tail risk hedge,Options/volatility concept or strategy,Options & Vol,portfolios,weight,numeric
Risk-off,Risk-off regime,Options/volatility concept or strategy,Options & Vol,risk_metrics,greek,text
Risk-on,Risk-on regime,Options/volatility concept or strategy,Options & Vol,trades,notional,numeric
Struct,Structured product,Options/volatility concept or strategy,Options & Vol,portfolios,rebalance_date,date
Exotic,Exotic option,Options/volatility concept or strategy,Options & Vol,risk_metrics,value_date,date
Barrier,Barrier option,Options/volatility concept or strategy,Options & Vol,trades,trade_ts,timestamp
Knock-in,Knock-in option,Options/volatility concept or strategy,Options & Vol,portfolios,strategy_code,text
Knock-out,Knock-out option,Options/volatility concept or strategy,Options & Vol,risk_metrics,metric_value,numeric
Digitals,Digital option,Options/volatility concept or strategy,Options & Vol,trades,trade_id,bigint
Quanto,Quanto option,Options/volatility concept or strategy,Options & Vol,portfolios,portfolio_id,bigint
Cliquet,Cliquet option,Options/volatility concept or strategy,Options & Vol,risk_metrics,metric_id,bigint
Autocallable,Autocallable note,Options/volatility concept or strategy,Options & Vol,trades,term_code,text
Lookback,Lookback option,Options/volatility concept or strategy,Options & Vol,portfolios,term_code,text
Asian option,Asian option,Options/volatility concept or strategy,Options & Vol,risk_metrics,term_code,text
Swaption,Swaption,Options/volatility concept or strategy,Options & Vol,trades,counterparty_id,integer
CMS,Constant Maturity Swap,Options/volatility concept or strategy,Options & Vol,portfolios,weight,numeric
FRA,Forward Rate Agreement,Options/volatility concept or strategy,Options & Vol,risk_metrics,greek,text
CDS,Credit Default Swap,Options/volatility concept or strategy,Options & Vol,trades,notional,numeric
Axe,Position axe,Trader desk slang,Trading Slang,portfolios,rebalance_date,date
Hit the bid,Hit the bid,Trader desk slang,Trading Slang,risk_metrics,value_date,date
Lift the offer,Lift the offer,Trader desk slang,Trading Slang,trades,trade_ts,timestamp
Spoof,Spoof,Trader desk slang,Trading Slang,portfolios,strategy_code,text
Whack,Whack,Trader desk slang,Trading Slang,risk_metrics,metric_value,numeric
Scoop,Scoop,Trader desk slang,Trading Slang,trades,trade_id,bigint
Fill,Fill,Trader desk slang,Trading Slang,portfolios,portfolio_id,bigint
Partial fill,Partial fill,Trader desk slang,Trading Slang,risk_metrics,metric_id,bigint
Leg,Leg,Trader desk slang,Trading Slang,trades,term_code,text
Arb,Arbitrage,Trader desk slang,Trading Slang,portfolios,term_code,text
Box,Box trade,Trader desk slang,Trading Slang,risk_metrics,term_code,text
Roll down,Rolldown,Trader desk slang,Trading Slang,trades,counterparty_id,integer
Fade,Fade,Trader desk slang,Trading Slang,portfolios,weight,numeric
Chase,Chase,Trader desk slang,Trading Slang,risk_metrics,greek,text
Stop-out,Stop-out,Trader desk slang,Trading Slang,trades,notional,numeric
Blow-up,Blow-up,Trader desk slang,Trading Slang,portfolios,rebalance_date,date
Margin call,Margin call,Trader desk slang,Trading Slang,risk_metrics,value_date,date
Clip size,Clip size,Trader desk slang,Trading Slang,trades,trade_ts,timestamp
Ticket,Ticket,Trader desk slang,Trading Slang,portfolios,strategy_code,text
Flow,Flow,Trader desk slang,Trading Slang,risk_metrics,metric_value,numeric
Print,Print,Trader desk slang,Trading Slang,trades,trade_id,bigint
Line,Line,Trader desk slang,Trading Slang,portfolios,portfolio_id,bigint
Bucket shop,Bucket shop,Trader desk slang,Trading Slang,risk_metrics,metric_id,bigint
Book,Book,Trader desk slang,Trading Slang,trades,term_code,text
Flat,Flat,Trader desk slang,Trading Slang,portfolios,term_code,text
Long,Long,Trader desk slang,Trading Slang,risk_metrics,term_code,text
Short,Short,Trader desk slang,Trading Slang,trades,counterparty_id,integer
Square up,Square up,Trader desk slang,Trading Slang,portfolios,weight,numeric
Off the run,Off the run,Trader desk slang,Trading Slang,risk_metrics,greek,text
On the run,On the run,Trader desk slang,Trading Slang,trades,notional,numeric
Fade the move,Fade the move,Trader desk slang,Trading Slang,portfolios,rebalance_date,date
Dead cat bounce,Dead cat bounce,Trader desk slang,Trading Slang,risk_metrics,value_date,date
Knife catch,Knife catch,Trader desk slang,Trading Slang,trades,trade_ts,timestamp
Rip,Rip,Trader desk slang,Trading Slang,portfolios,strategy_code,text
Dump,Dump,Trader desk slang,Trading Slang,risk_metrics,metric_value,numeric
Chop,Chop,Trader desk slang,Trading Slang,trades,trade_id,bigint
Tape,Tape,Trader desk slang,Trading Slang,portfolios,portfolio_id,bigint
Crossed market,Crossed market,Trader desk slang,Trading Slang,risk_metrics,metric_id,bigint
Stale price,Stale price,Trader desk slang,Trading Slang,trades,term_code,text
Back office,Back office,Trader desk slang,Trading Slang,portfolios,term_code,text
Front office,Front office,Trader desk slang,Trading Slang,risk_metrics,term_code,text
Middle office,Middle office,Trader desk slang,Trading Slang,trades,counterparty_id,integer
MOC,Market-on-Close,Trader desk slang,Trading Slang,portfolios,weight,numeric
LOC,Limit-on-Close,Trader desk slang,Trading Slang,risk_metrics,greek,text
IOI,Indication of Interest,Trader desk slang,Trading Slang,trades,notional,numeric
OTC,Over-the-counter,Trader desk slang,Trading Slang,portfolios,rebalance_date,date
Exchange-traded,Exchange-traded,Trader desk slang,Trading Slang,risk_metrics,value_date,date
Clearing,Clearing (settlement),Trader desk slang,Trading Slang,trades,trade_ts,timestamp
Collateral,Collateral (margin),Trader desk slang,Trading Slang,portfolios,strategy_code,text
Netting,Netting (offset),Trader desk slang,Trading Slang,risk_metrics,metric_value,numeric
DV01,Dollar value of 01,Rates or macro derivative concept,Rates/Macro,trades,trade_id,bigint
Duration,Duration,Rates or macro derivative concept,Rates/Macro,portfolios,portfolio_id,bigint
Convexity,Convexity,Rates or macro derivative concept,Rates/Macro,risk_metrics,metric_id,bigint
Curve steepener,Curve steepener,Rates or macro derivative concept,Rates/Macro,trades,term_code,text
Curve flattener,Curve flattener,Rates or macro derivative concept,Rates/Macro,portfolios,term_code,text
Breakeven,Breakeven inflation,Rates or macro derivative concept,Rates/Macro,risk_metrics,term_code,text
Basis,Basis (spread),Rates or macro derivative concept,Rates/Macro,trades,counterparty_id,integer
Carry trade,Carry trade,Rates or macro derivative concept,Rates/Macro,portfolios,weight,numeric
Repo,Repurchase agreement,Rates or macro derivative concept,Rates/Macro,risk_metrics,greek,text
Reverse repo,Reverse repurchase agreement,Rates or macro derivative concept,Rates/Macro,trades,notional,numeric
OIS,Overnight Index Swap,Rates or macro derivative concept,Rates/Macro,portfolios,rebalance_date,date
SOFR,Secured Overnight Financing Rate,Rates or macro derivative concept,Rates/Macro,risk_metrics,value_date,date
LIBOR,London Interbank Offered Rate,Rates or macro derivative concept,Rates/Macro,trades,trade_ts,timestamp
EONIA,Euro Overnight Index Average,Rates or macro derivative concept,Rates/Macro,portfolios,strategy_code,text
Euribor,Euro Interbank Offered Rate,Rates or macro derivative concept,Rates/Macro,risk_metrics,metric_value,numeric
GC,General collateral,Rates or macro derivative concept,Rates/Macro,trades,trade_id,bigint
HICP,Harmonised Index of Consumer Prices,Rates or macro derivative concept,Rates/Macro,portfolios,portfolio_id,bigint
CPI,Consumer Price Index,Rates or macro derivative concept,Rates/Macro,risk_metrics,metric_id,bigint
GDP print,GDP release,Rates or macro derivative concept,Rates/Macro,trades,term_code,text
NFP,Nonfarm Payrolls,Rates or macro derivative concept,Rates/Macro,portfolios,term_code,text
